division_number,date_reported,date_occurred,area,area_name,reporting_district,part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude,case_number
231614626,02-12-2023,02-12-2023 11:50,16,Foothill,1664,1,210,ROBBERY,0337 0344,0,X,X,251,RECYCLING CENTER,102,HAND GUN,IC,Invest Cont,210,,,,11300    PENDLETON                    ST,,34.2429,-118.3887,395
230222017,02-12-2023,27-11-2023 15:42,2,Rampart,205,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0104 0325 0344 1817,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,600 N  DILLON                       ST,,34.0786,-118.2788,396
230601164,03-12-2023,23-11-2023 11:50,6,Hollywood,635,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0400 0421,38,M,B,710,OTHER PREMISE,511,VERBAL THREAT,IC,Invest Cont,930,,,,1900    GRACE                        AV,,34.1052,-118.3322,397
230817563,01-12-2023,01-12-2023 08:25,8,West LA,849,2,624,BATTERY - SIMPLE ASSAULT,0400 1810,62,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 S  BEDFORD                      ST,,34.063,-118.3804,398
230221894,01-12-2023,23-11-2023 11:00,2,Rampart,265,2,662,"BUNCO, GRAND THEFT",0701 0800 0113 1822,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,,,,2100    JAMES M WOOD                 BL,,34.0547,-118.2772,399
231820313,04-12-2023,04-12-2023 06:30,18,Southeast,1822,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 E  99TH                         ST,,33.9465,-118.2739,400
230917039,04-12-2023,02-12-2023 18:00,9,Van Nuys,989,1,330,BURGLARY FROM VEHICLE,0344 1307,33,M,O,101,STREET,,,IC,Invest Cont,330,,,,VENTURA                      BL,VENTURA CANYON               AV,34.1478,-118.4296,401
231917397,04-12-2023,03-12-2023 18:12,19,Mission,1983,2,901,VIOLATION OF RESTRAINING ORDER,2038 2000 0913 1814 1300,27,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,8500    NOBLE                        AV,,34.2246,-118.4611,402
231820206,01-12-2023,01-12-2023 20:00,18,Southeast,1841,2,624,BATTERY - SIMPLE ASSAULT,0913 0444,56,M,H,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,10700 S  VERMONT                      AV,,33.9391,-118.2916,403
230320751,04-12-2023,04-12-2023 01:15,3,Southwest,356,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913,41,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,1400 W  35TH                         PL,,34.0237,-118.3002,404
230516476,03-12-2023,03-12-2023 17:00,5,Harbor,507,2,662,"BUNCO, GRAND THEFT",1822 0344 0701,45,M,H,101,STREET,,,IC,Invest Cont,662,,,,22400    HALLDALE                     AV,,33.8229,-118.3015,405
230320721,03-12-2023,03-12-2023 08:20,3,Southwest,397,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,54,M,W,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1000 W  VERNON                       AV,,34.0073,-118.298,406
232018745,04-12-2023,04-12-2023 19:36,20,Olympic,2004,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,600 N  SERRANO                      AV,,34.0817,-118.3069,407
232018583,01-12-2023,23-07-2023 13:00,20,Olympic,2046,2,354,THEFT OF IDENTITY,,0,X,X,116,OTHER/OUTSIDE,,,IC,Invest Cont,354,,,,800 S  BERENDO                      ST,,34.0577,-118.2941,408
230221952,02-12-2023,30-11-2023 12:30,2,Rampart,205,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 0344,36,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331,,,,800 N  BENTON                       WY,,34.0776,-118.2728,409
232117194,02-12-2023,01-12-2023 18:15,21,Topanga,2145,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,37,F,H,101,STREET,,,IC,Invest Cont,331,,,,22200    VANOWEN                      ST,,34.1937,-118.6104,410
231820194,01-12-2023,01-12-2023 14:20,18,Southeast,1822,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1259 1251 0943 0908,14,F,B,102,SIDEWALK,,,IC,Invest Cont,822,,,,COLDEN                       AV,FIGUEROA                     ST,33.9492,-118.2827,411
230221918,01-12-2023,28-11-2023 09:50,2,Rampart,215,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 N  OCCIDENTAL                   BL,,34.0737,-118.2775,412
230414977,03-12-2023,29-11-2023 08:15,4,Hollenbeck,469,1,330,BURGLARY FROM VEHICLE,1300 1302 1307 0329 0344,34,M,F,108,PARKING LOT,,,IC,Invest Cont,330,,,,200 S  INDIANA                      ST,,34.0338,-118.1924,413
231518394,02-12-2023,30-11-2023 23:20,15,N Hollywood,1589,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3600    BARHAM                       BL,,34.1362,-118.342,414
